Painting,Metric,TourType,SpearmanRho,p-value,N
van Dongen,TimeAtTheTile,Type 1.0,-0.154,0.583,15
van Dongen,SelfReportedLiking,Type 3.0,-0.158,0.6236,12
van Dongen,Audio_AvgValence,Type 3.0,-0.154,0.6336,12
van Dongen,Audio_DominantEmotionIntensity,Type 3.0,-0.154,0.6336,12
van Dongen,ReactionTime,Type 3.0,0.154,0.6336,12
van Dongen,Audio_AvgValence,All,-0.074,0.6368,43
van Dongen,FI_MaxIntensity,Type 1.0,0.135,0.6449,14
van Dongen,GazeTime,Type 2.0,0.123,0.65,16
van Dongen,GazePercent_Audio,Type 1.0,-0.116,0.6813,15
van Dongen,GazeTime,Type 1.0,-0.116,0.6813,15
van Dongen,GazePercent_Audio,Type 2.0,0.096,0.7245,16
van Dongen,SaccadeRate,All,0.047,0.7624,43
van Dongen,FI_MaxIntensity,All,0.035,0.8248,42
van Dongen,ReactionTime,Type 2.0,0.041,0.8802,16
van Dongen,SaccadeRate,Type 1.0,-0.039,0.8913,15
van Dongen,Audio_DominantEmotionIntensity,Type 1.0,0.039,0.8914,15
