ParticipantID,Painting,SelfReportedLiking,FI_Valence,FI_MaxEmotion,FI_MaxIntensity,GazeTime,GazePercent_Audio,Audio_AvgValence,Audio_DominantEmotion,Audio_DominantEmotionIntensity,Audio_EmotionSequence,SaccadeRate,EngagementLevel,ReactionTime
125,Klimt,6,11.92,joy,23.84,96.1,96.02,2.26,joy,5.31,joy;surprise;anger;sadness;disgust,10.66,low,20.75
125,Picasso,5,0.0,neutral,0.0,53.18,86.55,0.35,surprise,2.09,surprise;sadness;disgust;anger;joy,6.56,low,2.64
125,Pollock,3,43.8,joy,62.77,83.44,93.19,-1.1,anger,2.84,anger;joy;sadness;disgust;surprise,5.36,low,8.06
125,de Chirico,7,-21.76,sadness,21.76,42.64,83.38,-0.46,sadness,0.46,sadness;anger;joy;disgust;surprise,6.33,low,6.39
125,van Dongen,4,0.0,neutral,0.0,75.78,91.55,0.58,surprise,1.43,surprise;anger;joy;sadness;disgust,5.46,low,2.82
126,Braque,4,-13.81,anger,27.62,67.66,89.74,-2.76,anger,11.78,anger;surprise;joy;sadness;disgust,7.0,low,6.17
126,Janco,5,-11.33,anger,22.66,63.74,97.36,2.89,surprise,16.24,surprise;anger;joy;sadness;disgust,8.48,low,1.78
126,Klimt,1,0.0,neutral,0.0,87.86,98.41,16.8,surprise,45.99,surprise;anger;sadness;disgust;joy,10.1,low,4.26
126,Picasso,1,0.0,neutral,0.0,54.02,87.95,-3.51,anger,13.43,anger;surprise;joy;sadness;disgust,7.56,low,2.34
126,Pollock,2,0.0,neutral,0.0,83.72,94.75,11.73,surprise,51.92,surprise;anger;joy;sadness;disgust,6.03,low,7.09
126,de Chirico,3,-15.58,surprise,33.94,44.82,91.12,5.29,surprise,39.2,surprise;anger;joy;sadness;disgust,6.97,low,7.05
126,van Dongen,6,0.0,neutral,0.0,78.98,96.71,-0.37,anger,5.76,anger;surprise;joy;sadness;disgust,5.34,low,3.02
127,Braque,6,0.0,neutral,0.0,61.94,80.02,-2.74,sadness,2.74,sadness;anger;joy;disgust;surprise,6.71,low,6.85
127,Janco,7,0.0,neutral,0.0,55.98,82.34,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,8.02,low,3.25
127,Klimt,5,0.0,neutral,0.0,86.44,98.3,-10.45,sadness,11.35,sadness;anger;surprise;joy;disgust,12.05,low,32.39
