ParticipantID,Painting,TimeAtTheTile,TileTimePercent_Audio,SelfReportedLiking,GazeTime,GazePercent_Audio,SaccadeRate,EngagementLevel,ReactionTime
152,Picasso,66.68,110.96,4.5,50.18,82.89,9.14,low,2.69
106,Klimt,111.57,128.18,20.0,86.0,89.17,14.78,low,9.13
106,Pollock,100.43,115.06,30.0,81.44,92.28,7.12,low,6.4
106,van Dongen,87.87,108.78,27.5,28.84,83.95,8.17,low,4.24
106,Braque,86.58,115.91,23.5,54.96,77.48,7.95,low,5.32
106,de Chirico,57.7,118.6,29.0,43.16,85.85,8.49,low,5.46
106,Janco,71.79,110.03,13.5,39.54,71.7,11.41,low,2.44
106,Picasso,66.46,110.59,37.5,50.16,82.16,8.51,low,2.03
139,Klimt,130.42,149.86,7.5,71.22,77.96,14.87,low,34.14
139,Pollock,185.59,212.67,51.5,65.6,72.13,8.45,low,5.73
139,van Dongen,92.33,114.32,51.0,58.98,69.81,8.85,low,5.15
139,Braque,86.29,115.54,53.0,35.64,75.3,8.81,low,8.13
139,de Chirico,62.78,129.04,46.5,45.32,85.11,8.14,low,7.97
139,Janco,75.91,116.35,24.5,46.06,70.13,10.01,low,7.36
139,Picasso,69.98,116.45,51.0,42.32,67.98,7.87,low,3.08
137,Klimt,97.94,112.54,38.5,70.9,79.75,12.31,low,5.81
137,Pollock,129.96,148.9,30.0,72.88,79.23,4.27,moderate,1.75
137,van Dongen,87.94,108.87,3.5,63.42,78.28,4.66,moderate,6.27
137,Braque,91.75,122.84,4.0,51.72,68.43,4.69,moderate,14.56
137,de Chirico,62.27,128.01,2.0,21.96,45.17,8.8,low,9.48
137,Janco,74.5,114.19,43.5,58.5,88.96,7.19,low,3.85
137,Picasso,69.89,116.28,10.5,51.28,84.35,7.11,low,2.33
108,Klimt,99.82,114.69,20.0,81.24,91.13,13.74,low,5.92
108,Pollock,101.14,115.88,51.5,66.44,74.15,8.26,low,2.53
108,van Dongen,88.97,110.14,14.0,42.24,50.94,8.2,low,3.56
108,Braque,87.15,116.68,23.5,34.68,44.59,10.9,low,7.89
108,de Chirico,70.23,144.37,29.0,30.18,58.12,8.89,low,15.93
108,Janco,137.0,210.0,43.5,55.26,83.56,11.16,low,2.27
108,Picasso,67.8,112.82,20.5,38.2,62.17,7.64,low,1.93
130,Klimt,117.88,135.45,38.5,87.22,95.75,12.44,low,19.37
130,Pollock,103.16,118.19,21.0,9.18,83.31,7.56,low,2.67
130,van Dongen,92.23,114.17,7.5,6.0,66.15,8.31,low,4.92
130,Braque,86.85,116.27,23.5,41.1,88.27,7.26,low,6.96
130,de Chirico,60.41,124.19,46.5,47.4,96.87,7.03,low,7.73
130,Janco,74.08,113.55,24.5,63.9,96.53,7.48,low,2.72
130,Picasso,66.77,111.11,4.5,56.64,92.04,6.09,low,2.57
112,Klimt,108.12,124.25,20.0,82.32,91.84,17.03,low,9.98
112,Pollock,103.42,118.5,42.0,55.82,61.45,7.98,low,5.89
112,van Dongen,191.43,236.99,14.0,57.48,70.48,9.47,low,74.74
112,Braque,83.58,111.9,23.5,52.74,69.52,10.06,low,5.23
112,de Chirico,57.29,117.77,14.0,44.78,91.04,8.66,low,4.65
112,Janco,73.19,112.18,13.5,57.58,85.5,12.34,low,1.58
112,Picasso,66.52,110.7,20.5,48.32,79.52,8.54,low,2.07
123,Klimt,116.41,133.76,51.5,79.76,91.1,10.49,low,25.29
123,Pollock,102.5,117.44,14.0,73.06,83.25,6.25,low,2.15
123,van Dongen,90.45,111.97,51.0,57.42,69.99,7.11,low,2.7
123,Braque,84.54,113.18,23.5,60.88,80.77,7.26,low,5.35
123,de Chirico,62.16,127.79,14.0,46.18,92.88,7.08,low,9.66
123,Janco,131.15,201.03,43.5,52.74,80.65,9.37,low,1.26
123,Picasso,66.64,110.88,20.5,54.34,89.45,5.58,low,1.11
148,Klimt,116.01,133.28,3.5,75.52,81.22,12.82,low,15.15
148,Pollock,110.16,126.21,30.0,73.54,78.75,6.13,low,4.88
148,van Dongen,93.02,115.16,14.0,61.36,74.91,5.32,low,3.48
148,Braque,88.96,119.1,10.5,64.56,85.94,5.82,low,8.81
148,de Chirico,65.51,134.69,46.5,36.72,73.96,7.49,low,9.88
148,Janco,83.83,128.49,24.5,61.56,91.63,8.25,low,1.6
148,Picasso,72.83,121.17,37.5,37.64,61.02,8.64,low,1.9
141,Klimt,105.85,121.61,20.0,72.74,76.9,13.8,low,4.63
141,Pollock,112.9,129.36,51.5,76.6,85.49,6.31,low,13.48
141,van Dongen,92.43,114.43,3.5,43.78,53.37,6.35,low,7.79
141,Braque,90.48,121.13,46.0,54.9,71.02,8.13,low,12.06
141,de Chirico,68.28,140.36,46.5,43.28,88.03,6.64,low,12.58
141,Janco,137.77,211.17,4.5,55.5,84.67,6.19,low,2.88
141,Picasso,66.85,111.23,4.5,35.1,58.42,9.3,low,4.68
146,Klimt,113.27,130.16,20.0,65.6,73.87,13.8,low,20.85
146,Pollock,101.78,116.61,30.0,70.58,79.3,7.32,low,3.78
146,van Dongen,90.78,112.38,7.5,49.72,59.36,7.8,low,4.22
