Painting,TourType,Variable,N,Mean,SD,Median,Min,Max
de Chirico,1,SelfReportedLiking,16.0,34.78125,15.715139993013107,46.5,2.0,46.5
de Chirico,1,GazeTime,16.0,36.6875,10.0365488756511,38.39,11.9,47.7
de Chirico,1,GazePercent_Audio,16.0,73.54249999999999,19.865758648153026,77.85,23.49,96.87
de Chirico,1,SaccadeRate,16.0,8.733125,4.8571716306920845,7.3100000000000005,3.25,25.52
de Chirico,1,ReactionTime,16.0,7.665,1.0968014101619918,7.635,5.92,9.88
de Chirico,2,TimeAtTheTile,16.0,66.76875000000001,7.949997798741833,65.62,59.69,93.56
de Chirico,2,TileTimePercent_Audio,16.0,137.26187499999997,16.343287804172085,134.89999999999998,122.69,192.34
de Chirico,2,SelfReportedLiking,16.0,23.1875,15.961281276890023,14.0,2.0,46.5
de Chirico,2,GazeTime,16.0,38.446250000000006,10.414381642709278,41.730000000000004,5.7,48.3
de Chirico,2,GazePercent_Audio,16.0,77.543125,21.400108634848873,84.21000000000001,10.53,97.66
de Chirico,2,SaccadeRate,16.0,7.742500000000001,2.0315068299171433,7.5,4.79,13.31
de Chirico,2,ReactionTime,16.0,13.819375,6.555262993707169,12.06,9.31,36.45
de Chirico,3,TimeAtTheTile,16.0,63.647499999999994,17.49483790531748,58.43,55.62,128.45
de Chirico,3,TileTimePercent_Audio,16.0,130.83875,35.96339673890663,120.10499999999999,114.34,264.05
de Chirico,3,SelfReportedLiking,16.0,25.09375,13.290621693510053,29.0,4.0,46.5
de Chirico,3,GazeTime,16.0,41.485,4.24204038956098,43.459999999999994,32.68,45.92
de Chirico,3,GazePercent_Audio,16.0,84.30687499999999,8.980989343236821,88.38499999999999,65.61,93.75
de Chirico,3,SaccadeRate,16.0,8.115625000000001,1.772192498009175,8.129999999999999,4.36,11.15
de Chirico,3,ReactionTime,16.0,10.69125,15.949511957005663,6.6899999999999995,4.65,70.21
van Dongen,1,TimeAtTheTile,16.0,90.286875,2.535585977639094,89.755,86.8,96.91
van Dongen,1,TileTimePercent_Audio,16.0,111.77625,3.139445545527639,111.12,107.47,119.98
van Dongen,1,SelfReportedLiking,16.0,21.75,16.727223320085137,14.0,3.5,51.0
van Dongen,1,GazeTime,16.0,46.9925,21.73060990093621,54.0,6.0,75.78
van Dongen,1,GazePercent_Audio,16.0,60.849999999999994,22.90389748492601,67.98,21.01,91.55
van Dongen,1,SaccadeRate,16.0,8.738125,5.556952664605545,7.734999999999999,3.9,27.84
van Dongen,1,ReactionTime,16.0,4.748125,1.2999959935835699,4.535,2.82,7.85
van Dongen,2,TimeAtTheTile,16.0,90.435,2.869211273735926,89.46000000000001,86.58,96.85
van Dongen,2,TileTimePercent_Audio,16.0,111.97562500000001,3.5223135744374985,110.75,107.5,119.89
van Dongen,2,SelfReportedLiking,16.0,29.5625,15.144718551363047,27.5,3.5,51.0
van Dongen,2,GazeTime,16.0,52.72,21.64012446051701,58.79,9.54,74.32
van Dongen,2,GazePercent_Audio,16.0,64.33375000000001,26.367420775140925,71.905,12.82,91.21
van Dongen,2,SaccadeRate,16.0,7.30875,1.8439192860137164,7.17,3.75,10.53
van Dongen,2,ReactionTime,16.0,4.714375,1.9401476533157642,4.15,2.7,9.58
van Dongen,3,TimeAtTheTile,16.0,96.83250000000001,25.465272431293567,89.77000000000001,86.38,191.43
van Dongen,3,TileTimePercent_Audio,16.0,119.875625,31.527081685169236,111.12,106.93,236.99
van Dongen,3,SelfReportedLiking,16.0,32.90625,15.926098863186803,34.25,3.5,51.0
van Dongen,3,GazeTime,16.0,59.51875,13.435416815268516,62.33,28.84,78.98
van Dongen,3,GazePercent_Audio,16.0,75.85125,13.499501163623293,76.87,41.41,96.71
van Dongen,3,SaccadeRate,16.0,7.38875,1.6260171175810747,7.6899999999999995,4.4,9.67
van Dongen,3,ReactionTime,16.0,9.684999999999999,17.62160567787926,4.485,2.14,74.74
